generation,max_fitness,min_fitness,mean,std,fitness,genotype,active_nodes
0,0.0,0.10000000149011612,0.0019607843429434533,0.013864839053397247,0.1,"[ 2  1  1  1  1  0  6  0  0  3  1  0  0  1  0  7  3  2  2  3  6  3  5  0
  2  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  6  7  8  9 11 12 15 17 20 21 24 25]
1,0.0,0.10000000149011612,0.003921568685886907,0.019410774674756145,0.1,"[ 2  6  1  5  1  0  6  6  0  9  1  0  4  1  0  6  6  2  8  3  0  3  5 16
  5  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  5  6  7  8  9 11 12 15 16 17 20 21 24 25]
2,0.0,0.10000000149011612,0.003921568685886907,0.019410774674756145,0.1,"[ 2  6  2  5  1  0  6  6 10  9  1  0  4  7  0  3  3  2  8 18  0  3  2  7
  5  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  6  7  8  9 10 11 12 15 17 18 20 21 24 25]
3,0.0,0.10000000149011612,0.0019607843429434533,0.013864839053397247,0.1,"[ 2  6  2  5  1  0  6  6 10  9  1  0  4  7  0  3  3  2  8 18  0  3  2  7
  5  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  6  7  8  9 10 11 12 15 17 18 20 21 24 25]
4,0.0,0.10000000149011612,0.0019607843429434533,0.013864839053397247,0.1,"[ 2  6  2  5  1  0  6  6 10  9  1  0  4  7  0  3  3  2  8 18  0  3  2  7
  5  6  6  8  2  1  8 11  8  2  7  3  7  5  6  8  7  4  9  2 11 10  7  8
  1  9 12  3 12  9  8 12  8  8 15  9  5 20 14  8 16 12  7 20 21  9 17 17
  0 16 18 24 25  1]",[ 2  3  4  6  7  8  9 10 11 12 15 17 18 20 21 24 25]
